Test_ID,Applied_Voltage_kV,Load_Current_A,Ambient_Temperature_C,Test_Duration_min,Sensor_S1,Sensor_S2,Sensor_S3,Sensor_S4,Reference_Parameter,Validity_Label,feat_missing_count,feat_missing_S1,feat_missing_S2,feat_missing_S3,feat_missing_S4,feat_power_input,feat_energy_input,feat_i2t,feat_i2t_per_volt,feat_volt_x_dur,feat_curr_x_dur,feat_curr_per_volt,feat_s_mean,feat_s_std,feat_s_max,feat_s_min,feat_s_range,feat_s_median,feat_s1_s2_gap,feat_s1_s3_gap,feat_s2_s3_gap,feat_abs_s1_s2_gap,feat_abs_s1_s3_gap,feat_abs_s2_s3_gap,feat_s_consistency,feat_s_cv,feat_s1_dev,feat_s2_dev,feat_s3_dev,feat_s4_minus_smean,feat_s4_abs_dev,feat_s4_ratio,feat_temp_per_power,feat_temp_per_energy,feat_temp_per_i2t,feat_smean_abs,feat_smax_abs
TRN-0889,16.7196,93.1228,33.3421,19.9546,13.6343,15.1361,16.5062,62.9115,34.8501,Valid,0,0,0,0,0,1556.97596688,31068.832628703647,173043.41533985524,10349.733545666266,333.63293016,1858.22822488,5.569678367324674,15.0922,1.1728591305011868,16.5062,13.6343,2.8719,15.1361,-1.5018000000000011,-2.8719,-1.370099999999999,1.5018000000000011,2.8719,1.370099999999999,0.19029033604840012,0.07771292805477391,-1.4579000000000004,0.043900000000000716,1.4139999999999997,47.8193,47.8193,4.168477480521231,0.00969327742453838,0.0004857665616174765,8.721626286832052e-05,48.4343,49.8483
TRN-0820,21.4477,82.523,34.4915,47.0553,15.6466,15.9849,19.3289,39.8667,30.4762,Valid,0,0,0,0,0,1769.9285471,83284.51876235464,320448.7353807537,14940.936344681124,1009.2279578100001,3883.1445219,3.8476384951468687,16.9868,1.6618636185519762,19.3289,15.6466,3.6823000000000015,15.9849,-0.33830000000000027,-3.6823000000000015,-3.344000000000001,0.33830000000000027,3.6823000000000015,3.344000000000001,0.21677418838308646,0.09783264185834498,-1.3401999999999994,-1.0018999999999991,2.342100000000002,22.879900000000003,22.879900000000003,2.3469221779898404,0.009597449579665322,0.00020396107526617814,5.3009414999761064e-05,51.478300000000004,53.82040000000001
TRN-0411,19.2432,107.3619,29.4673,5.2763,15.108,16.6481,18.3834,44.539,46.8046,Valid,0,0,0,0,0,2065.9865140800002,10900.764644240306,60817.68124108585,3160.4763282930858,101.53289616,566.47359297,5.579212107174892,16.713166666666666,1.3379677483241355,18.3834,15.108,3.275400000000001,16.6481,-1.540099999999999,-3.275400000000001,-1.7353000000000023,1.540099999999999,3.275400000000001,1.7353000000000023,0.19597721182038846,0.08005470746234573,-1.6051666666666655,-0.0650666666666666,1.6702333333333357,27.825833333333335,27.825833333333335,2.6649047558369294,0.00808967848757691,0.0015332104866573996,0.00027480769285069605,46.18046666666667,47.8507
TRN-0754,22.7191,69.969,26.9695,20.3051,14.9296,14.7026,18.6269,44.2673,23.7153,Valid,0,0,0,0,0,1589.6327079,32277.65109718029,99406.88537920109,4375.476185400165,461.31359741,1420.7275418999998,3.079743340196427,16.086366666666667,1.798817104531629,18.6269,14.7026,3.924299999999999,14.9296,0.2270000000000003,-3.6972999999999985,-3.924299999999999,0.2270000000000003,3.6972999999999985,3.924299999999999,0.24395190271149456,0.11182245375747839,-1.156766666666666,-1.3837666666666664,2.5405333333333324,28.180933333333332,28.180933333333332,2.7518518112531014,0.010119549362945714,0.0004983747614637784,0.00016182346529761203,43.05586666666667,45.5964
TRN-0707,13.5008,108.8999,35.5415,29.1939,12.6845,15.2455,14.6132,44.072,48.5994,Valid,0,0,0,0,0,1470.23576992,42921.916043467485,346215.95497614995,25644.104744314798,394.14100512,3179.21279061,8.066180665873084,14.181066666666666,1.089261114497142,15.2455,12.6845,2.561,14.6132,-2.561,-1.928700000000001,0.632299999999999,2.561,1.928700000000001,0.632299999999999,0.1805928904788857,0.07681093836520551,-1.4965666666666664,1.0644333333333336,0.4321333333333346,29.890933333333336,29.890933333333336,3.1078054936296176,0.009645437110942325,0.0003303922092381653,4.096017662618295e-05,49.722566666666665,50.787
TRN-0140,13.4841,75.9719,25.2769,59.8003,11.3356,12.4198,13.764,49.4543,22.9154,Valid,1,0,0,0,1,1024.4126967900002,61260.186591851045,345151.1609775549,25596.898226849156,806.35322523,4543.14241157,5.634183546978773,12.506466666666668,0.9932824282258405,13.764,11.3356,2.4284,12.4198,-1.084200000000001,-2.4284,-1.344199999999999,1.084200000000001,2.4284,1.344199999999999,0.19417153305984106,0.07942150051474756,-1.1708666666666687,-0.08666666666666778,1.2575333333333312,36.947833333333335,36.947833333333335,3.954297993494193,0.01220842605099223,0.00020415325780490115,3.623475184382684e-05,37.783366666666666,39.0409
TRN-0881,21.5217,69.0397,30.813,17.2425,14.6484,14.5557,18.4782,54.8324,24.2957,Valid,0,0,0,0,0,1485.8517114899998,25619.798135366324,82186.03443623181,3818.75180015891,371.08791225,1190.4170272499998,3.207910936036143,15.8941,1.827626499041859,18.4782,14.5557,3.922500000000001,14.6484,0.09270000000000067,-3.8298000000000005,-3.922500000000001,0.09270000000000067,3.8298000000000005,3.922500000000001,0.2467896737286369,0.11498772400161915,-1.2456999999999994,-1.3384,2.584100000000001,38.9383,38.9383,3.4498585355661198,0.010696962466977654,0.0006203834985506358,0.00019339173752371336,46.7071,49.2912
TRN-0381,27.5517,31.9359,38.4775,36.8148,15.6381,13.8904,20.6009,46.5897,20.8262,Valid,0,0,0,0,0,879.88833603,32392.91311327724,37547.47742949839,1362.8007007443346,1014.3103251599999,1175.71377132,1.1591262550359414,16.7098,2.842429504256291,20.6009,13.8904,6.7105,15.6381,1.7477,-4.9628,-6.7105,1.7477,4.9628,6.7105,0.40159065927834803,0.17010552694531136,-1.0717000000000017,-2.8194000000000017,3.891099999999998,29.8799,29.8799,2.788166058949475,0.018990818830947043,0.0005158473997398871,0.00044503122828771623,55.1873,59.0784
TRN-0095,27.0232,98.1134,49.9673,29.2064,18.5386,19.0188,22.7145,43.2755,51.1599,Valid,0,0,0,0,0,2651.3380308799997,77436.03906509362,281147.7943104131,10403.94120261375,789.25038848,2865.5392057599997,3.6307097741677605,20.090633333333333,1.8656822207677524,22.7145,18.5386,4.175900000000002,19.0188,-0.48019999999999996,-4.175900000000002,-3.695700000000002,0.48019999999999996,4.175900000000002,3.695700000000002,0.20785306878397394,0.0928632809603383,-1.552033333333334,-1.071833333333334,2.623866666666668,23.184866666666668,23.184866666666668,2.1540136205754115,0.007577545032644348,0.00025944810162856436,7.145933114125718e-05,70.05793333333334,72.68180000000001
TRN-0135,23.8796,37.0768,27.7869,13.8211,4.7556,12.2665,17.5003,34.8471,18.4965,Invalid,0,0,0,0,0,885.37915328,12236.913815398208,18999.71549568486,795.6462712959425,330.04233955999996,512.44216048,1.5526557583604514,11.507466666666668,5.230611387039016,17.5003,4.7556,12.744699999999998,12.2665,-7.5109,-12.744699999999998,-5.233799999999999,7.5109,12.744699999999998,5.233799999999999,1.1075156037081195,0.4545406112406789,-6.751866666666667,0.759033333333333,5.992833333333332,23.33963333333333,23.33963333333333,3.028216199202587,0.012997218887567627,0.0009403896145158727,0.0006056652094961386,39.29436666666667,45.2872
